Unnamed: 0.1,Unnamed: 0,French,English
0,0,partie,part
1,1,histoire,history
2,3,seulement,only
4,5,pensais,thought
5,6,aide,help
6,7,demande,request
8,9,mois,month
11,13,aucun,no
12,14,eux,them
13,17,parlé,speak
14,18,arrivé,come
16,21,longtemps,long time
17,22,heures,hours
19,24,pendant,while
20,25,revoir,meet again
21,26,aucune,any
23,28,parle,speak
24,29,compris,understood
25,30,savais,knew
26,32,attention,Warning
30,37,type,type
32,39,donné,given
33,40,corps,body
34,42,yeux,eyes
35,43,façon,way
39,50,première,first
40,51,côté,side
41,53,vieux,old
44,56,matin,morning
45,57,tellement,so much
46,58,point,point
47,60,pardon,sorry
48,61,venez,come
49,62,devant,in front of
50,63,vers,towards
51,64,minutes,minutes
53,66,chambre,bedroom
56,69,droit,law
57,72,mari,husband
58,73,cause,cause
59,74,enfin,finally
61,76,eau,water
63,78,parti,left
64,79,nouvelle,new
66,81,arrêter,Stop
68,83,terre,Earth
70,85,donne,given
71,86,loin,far
72,88,croire,believe
73,89,chérie,sweetheart
74,90,gros,large
75,92,aura,will have
76,94,jouer,to play
77,95,bureau,office
